City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
53,Flinders,AU,2020-02-22 21:46:07,-34.58,150.86,71.01,82,100,2.24,light rain,0.13,0.0
54,Kaitangata,NZ,2020-02-22 21:44:37,-46.28,169.85,62.01,59,66,10.0,broken clouds,0.0,0.0
55,Cherskiy,RU,2020-02-22 21:50:18,68.75,161.3,-20.52,97,96,4.97,overcast clouds,0.0,0.0
56,Pevek,RU,2020-02-22 21:50:19,69.7,170.31,-12.15,98,100,10.78,light snow,0.0,0.13
57,Bandarbeyla,SO,2020-02-22 21:44:42,9.49,50.81,76.86,78,25,17.81,scattered clouds,0.0,0.0
58,Bambous Virieux,MU,2020-02-22 21:50:19,-20.34,57.76,77.0,88,75,3.36,broken clouds,0.0,0.0
59,Aklavik,CA,2020-02-22 21:50:19,68.22,-135.01,1.4,77,90,4.7,light snow,0.0,0.0
60,Barrow,US,2020-02-22 21:46:55,71.29,-156.79,-11.2,76,90,5.82,haze,0.0,0.0
61,Alice Springs,AU,2020-02-22 21:46:43,-23.7,133.88,60.8,31,0,2.24,clear sky,0.0,0.0
62,Great Yarmouth,GB,2020-02-22 21:43:50,52.61,1.73,48.99,75,100,13.87,overcast clouds,0.0,0.0
63,Lebu,CL,2020-02-22 21:50:20,-37.62,-73.65,66.42,62,15,5.06,few clouds,0.0,0.0
64,Mabaruma,GY,2020-02-22 21:44:13,8.2,-59.78,83.23,59,97,5.68,light rain,0.13,0.0
65,Port Alfred,ZA,2020-02-22 21:48:18,-33.59,26.89,62.01,95,100,4.0,light rain,2.19,0.0
66,New Norfolk,AU,2020-02-22 21:43:46,-42.78,147.06,60.01,76,20,6.93,few clouds,0.0,0.0
67,Agadir,MA,2020-02-22 21:47:03,30.42,-9.6,68.0,28,0,5.82,clear sky,0.0,0.0
68,Upernavik,GL,2020-02-22 21:43:35,72.79,-56.15,-15.9,94,78,4.88,broken clouds,0.0,0.0
69,Tezu,IN,2020-02-22 21:47:14,27.92,96.17,63.0,42,100,2.01,overcast clouds,0.0,0.0
70,Bintulu,MY,2020-02-22 21:50:21,3.17,113.03,75.2,100,75,2.24,broken clouds,0.0,0.0
71,Tautira,PF,2020-02-22 21:50:22,-17.73,-149.15,87.8,70,40,13.87,shower rain,0.0,0.0
72,Saskylakh,RU,2020-02-22 21:50:22,71.92,114.08,-13.74,93,39,5.1,scattered clouds,0.0,0.0
73,Ingham,US,2020-02-22 21:50:22,42.6,-84.38,46.0,41,1,10.29,clear sky,0.0,0.0
74,Muroto,JP,2020-02-22 21:43:42,33.28,134.15,37.4,74,20,8.05,few clouds,0.0,0.0
75,Saint George,US,2020-02-22 21:43:38,37.1,-113.58,51.01,81,90,11.41,moderate rain,0.0,0.0
76,Nouakchott,MR,2020-02-22 21:50:23,18.09,-15.98,66.2,93,72,13.87,broken clouds,0.0,0.0
77,Tsagan Aman,RU,2020-02-22 21:50:23,47.56,46.72,34.99,65,100,8.32,overcast clouds,0.0,0.0
78,Pangoa,PE,2020-02-22 21:46:45,-12.12,-73.0,70.02,99,100,0.94,moderate rain,4.0,0.0
79,Cabo San Lucas,MX,2020-02-22 21:50:23,22.89,-109.91,84.2,35,40,9.17,scattered clouds,0.0,0.0
80,Chuy,UY,2020-02-22 21:50:24,-33.7,-53.46,67.87,62,31,11.77,scattered clouds,0.0,0.0
81,Tefe,BR,2020-02-22 21:50:24,-3.35,-64.71,82.4,78,40,9.17,scattered clouds,0.0,0.0
82,Henties Bay,NA,2020-02-22 21:43:38,-22.12,14.28,64.99,87,0,1.01,clear sky,0.0,0.0
83,Mglin,RU,2020-02-22 21:50:24,53.06,32.85,35.24,81,100,19.53,overcast clouds,0.0,0.0
84,Acapulco,MX,2020-02-22 21:44:08,16.86,-99.89,84.2,74,5,10.29,clear sky,0.0,0.0
85,Butaritari,KI,2020-02-22 21:50:24,3.07,172.79,83.89,75,94,6.55,overcast clouds,0.0,0.0
86,Ancud,CL,2020-02-22 21:43:40,-41.87,-73.82,80.6,28,0,5.82,clear sky,0.0,0.0
87,Namibe,AO,2020-02-22 21:45:01,-15.2,12.15,75.34,79,100,15.39,overcast clouds,0.0,0.0
88,Touros,BR,2020-02-22 21:47:28,-5.2,-35.46,82.4,83,75,6.93,broken clouds,0.0,0.0
89,Port Elizabeth,ZA,2020-02-22 21:50:25,-33.92,25.57,67.01,76,100,17.49,light rain,0.94,0.0
90,Puri,IN,2020-02-22 21:50:25,19.8,85.85,66.2,88,0,1.99,mist,0.0,0.0
91,Saint-Philippe,RE,2020-02-22 21:50:26,-21.36,55.77,75.2,69,75,6.93,broken clouds,0.0,0.0
92,Atuona,PF,2020-02-22 21:43:47,-9.8,-139.03,81.86,76,0,13.73,light rain,0.31,0.0
93,Sao Joao Da Barra,BR,2020-02-22 21:42:35,-21.64,-41.05,75.2,78,75,20.8,light rain,0.0,0.0
94,Tam Ky,VN,2020-02-22 21:50:26,15.57,108.48,68.0,94,40,1.12,scattered clouds,0.0,0.0
95,Kavieng,PG,2020-02-22 21:44:45,-2.57,150.8,83.43,73,13,5.53,few clouds,0.0,0.0
96,Fort Frances,CA,2020-02-22 21:50:26,48.6,-93.4,48.2,29,1,10.29,clear sky,0.0,0.0
97,Ilulissat,GL,2020-02-22 21:47:29,69.22,-51.1,-0.4,54,20,5.82,few clouds,0.0,0.0
98,Namatanai,PG,2020-02-22 21:47:00,-3.67,152.43,83.48,75,79,3.67,broken clouds,0.0,0.0
99,Tual,ID,2020-02-22 21:50:27,-5.67,132.75,82.33,78,94,15.39,light rain,0.94,0.0
100,Yulara,AU,2020-02-22 21:41:33,-25.24,130.99,68.0,24,0,9.17,clear sky,0.0,0.0
101,Arraial Do Cabo,BR,2020-02-22 21:42:00,-22.97,-42.03,77.0,88,75,13.87,broken clouds,0.0,0.0
102,Umm Lajj,SA,2020-02-22 21:50:27,25.02,37.27,62.47,49,0,5.39,clear sky,0.0,0.0
103,Bethel,US,2020-02-22 21:43:45,41.37,-73.41,48.99,20,1,8.05,clear sky,0.0,0.0
104,Talnakh,RU,2020-02-22 21:47:08,69.49,88.4,8.6,84,100,24.61,light snow,0.0,0.0
105,Zyryanka,RU,2020-02-22 21:50:28,65.75,150.85,-17.16,95,83,4.03,broken clouds,0.0,0.0
106,Nabire,ID,2020-02-22 21:40:22,-3.37,135.48,71.65,97,100,1.48,light rain,0.75,0.0
107,Kalamnuri,IN,2020-02-22 21:50:28,19.67,77.33,72.99,48,0,7.49,clear sky,0.0,0.0
108,Severo-Kurilsk,RU,2020-02-22 21:43:37,50.68,156.12,7.7,89,31,0.74,scattered clouds,0.0,0.0
109,Iqaluit,CA,2020-02-22 21:43:57,63.75,-68.51,-27.0,60,20,13.87,few clouds,0.0,0.0
110,Iberia,US,2020-02-22 21:47:25,29.95,-91.75,62.01,50,1,5.82,clear sky,0.0,0.0
111,Eresos,GR,2020-02-22 21:50:29,39.17,25.93,47.73,66,0,22.77,clear sky,0.0,0.0
112,East London,ZA,2020-02-22 21:48:23,-33.02,27.91,72.21,81,100,22.64,light rain,1.5,0.0
113,Kapaa,US,2020-02-22 21:45:54,22.08,-159.32,78.8,65,20,6.93,few clouds,0.0,0.0
114,Thompson,CA,2020-02-22 21:50:30,55.74,-97.86,26.6,49,20,2.24,few clouds,0.0,0.0
115,Ornskoldsvik,SE,2020-02-22 21:50:30,63.29,18.72,35.6,74,100,17.22,overcast clouds,0.0,0.0
116,Ainazi,LV,2020-02-22 21:50:30,57.86,24.36,40.19,70,98,32.37,light rain,2.31,0.0
117,Praia Da Vitoria,PT,2020-02-22 21:42:43,38.73,-27.07,55.4,82,40,5.37,scattered clouds,0.0,0.0
118,Tiznit,MA,2020-02-22 21:45:20,29.58,-9.5,65.12,18,0,18.1,clear sky,0.0,0.0
119,Victor Harbor,AU,2020-02-22 21:43:49,-35.57,138.62,72.0,62,0,3.36,clear sky,0.0,0.0
120,Deep River,CA,2020-02-22 21:50:31,46.1,-77.5,39.99,55,20,9.17,few clouds,0.0,0.0
121,Felanitx,ES,2020-02-22 21:50:31,39.47,3.15,51.01,100,20,5.82,few clouds,0.0,0.0
122,Tuktoyaktuk,CA,2020-02-22 21:43:52,69.45,-133.04,3.2,84,90,6.93,light snow,0.0,0.0
123,Tuy Hoa,VN,2020-02-22 21:50:32,13.08,109.3,74.84,80,49,22.08,light rain,1.44,0.0
124,Bulgan,MN,2020-02-22 21:50:32,48.81,103.53,15.71,70,88,3.87,overcast clouds,0.0,0.0
125,Forio,IT,2020-02-22 21:50:32,40.73,13.86,55.0,49,0,2.24,clear sky,0.0,0.0
126,Amga,RU,2020-02-22 21:47:51,60.9,131.96,-1.03,98,97,1.68,light snow,0.0,0.13
127,Oussouye,SN,2020-02-22 21:47:50,12.48,-16.55,75.2,88,73,4.7,broken clouds,0.0,0.0
128,Kedrovyy,RU,2020-02-22 21:48:57,56.17,91.82,21.2,92,75,1.92,broken clouds,0.0,0.0
129,Ongandjera,NA,2020-02-22 21:45:15,-17.88,15.07,84.16,33,95,6.58,overcast clouds,0.0,0.0
130,Hilo,US,2020-02-22 21:46:41,19.73,-155.09,80.6,54,20,6.93,few clouds,0.0,0.0
131,Ust-Koksa,RU,2020-02-22 21:50:33,50.27,85.61,20.44,95,100,8.72,light snow,0.0,1.31
132,Nanortalik,GL,2020-02-22 21:44:31,60.14,-45.24,27.57,89,100,17.9,snow,0.0,2.13
133,Malartic,CA,2020-02-22 21:50:33,48.13,-78.13,39.2,48,40,11.41,scattered clouds,0.0,0.0
134,Dankov,RU,2020-02-22 21:50:34,53.25,39.16,28.4,86,88,8.95,overcast clouds,0.0,0.0
135,Tilichiki,RU,2020-02-22 21:44:26,60.47,166.1,-14.67,92,0,3.0,clear sky,0.0,0.0
136,Harper,LR,2020-02-22 21:50:34,4.38,-7.72,78.24,93,98,4.65,overcast clouds,0.0,0.0
137,Hithadhoo,MV,2020-02-22 21:50:35,-0.6,73.08,82.15,81,89,14.03,overcast clouds,0.0,0.0
138,Cabo Rojo,PR,2020-02-22 21:44:39,18.09,-67.15,82.99,61,75,6.93,broken clouds,0.0,0.0
139,Changde,CN,2020-02-22 21:50:36,29.05,111.68,48.45,83,29,3.27,scattered clouds,0.0,0.0
140,Vazante,BR,2020-02-22 21:50:36,-17.99,-46.91,75.96,87,100,6.58,light rain,2.81,0.0
141,Bathsheba,BB,2020-02-22 21:45:02,13.22,-59.52,82.4,69,20,9.17,few clouds,0.0,0.0
142,Yanam,IN,2020-02-22 21:50:36,16.73,82.22,67.64,89,0,2.75,clear sky,0.0,0.0
143,Katsuura,JP,2020-02-22 21:44:31,35.13,140.3,51.01,45,20,5.82,few clouds,0.0,0.0
144,Oktyabrskoye,RU,2020-02-22 21:50:37,43.06,44.74,32.27,83,96,0.74,overcast clouds,0.0,0.0
145,Yining,CN,2020-02-22 21:46:53,29.04,114.56,48.49,77,54,1.66,broken clouds,0.0,0.0
146,Hasaki,JP,2020-02-22 21:43:45,35.73,140.83,46.4,42,20,4.7,few clouds,0.0,0.0
147,Galle,LK,2020-02-22 21:50:37,6.04,80.22,80.82,76,100,14.05,overcast clouds,0.0,0.0
148,Husavik,IS,2020-02-22 21:43:43,66.04,-17.34,21.94,87,100,10.38,overcast clouds,0.0,0.0
149,Puerto Quijarro,BO,2020-02-22 21:44:54,-17.78,-57.77,72.21,87,100,1.57,overcast clouds,0.0,0.0
150,Besikduzu,TR,2020-02-22 21:50:38,41.05,39.23,46.4,87,75,11.41,light rain,0.0,0.0
151,Mahebourg,MU,2020-02-22 21:50:38,-20.41,57.7,77.0,88,75,3.36,broken clouds,0.0,0.0
152,Airai,TL,2020-02-22 21:50:38,-8.93,125.41,66.29,82,8,4.83,clear sky,0.0,0.0
153,Atikokan,CA,2020-02-22 21:50:39,48.76,-91.62,34.45,87,20,8.28,few clouds,0.0,0.0
154,Sefton,NZ,2020-02-22 21:50:39,-43.25,172.67,66.0,67,0,4.7,clear sky,0.0,0.0
155,Bosansko Grahovo,BA,2020-02-22 21:50:39,44.18,16.36,44.01,66,82,1.41,broken clouds,0.0,0.0
156,Ayan,RU,2020-02-22 21:50:39,56.45,138.17,-0.44,71,72,5.19,broken clouds,0.0,0.0
157,Lantawan,PH,2020-02-22 21:50:40,10.62,123.98,75.2,83,40,6.93,scattered clouds,0.0,0.0
158,Cidreira,BR,2020-02-22 21:50:40,-30.18,-50.21,70.93,67,15,17.34,light rain,0.25,0.0
159,Port Lincoln,AU,2020-02-22 21:43:36,-34.73,135.87,64.6,82,0,6.15,clear sky,0.0,0.0
160,Tiksi,RU,2020-02-22 21:47:03,71.69,128.87,-11.67,90,90,7.4,overcast clouds,0.0,0.0
161,Bengkulu,ID,2020-02-22 21:50:41,-3.8,102.27,73.42,89,2,4.56,clear sky,0.0,0.0
162,Sabancuy,MX,2020-02-22 21:50:41,18.97,-91.18,81.72,54,3,9.95,clear sky,0.0,0.0
