City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
60,Bose,IT,2020-02-21 23:40:14,45.46,8.01,46.99,60,62,4.7
61,Opuwo,NA,2020-02-21 23:40:15,-18.06,13.84,69.8,40,93,5.61
62,Dikson,RU,2020-02-21 23:39:17,73.51,80.55,10.56,94,100,19.57
63,Lagoa,PT,2020-02-21 23:38:21,39.05,-27.98,60.31,80,44,7.54
64,Turukhansk,RU,2020-02-21 23:40:15,65.82,87.98,22.39,96,100,6.15
65,Oromocto,CA,2020-02-21 23:40:16,45.84,-66.48,16.0,33,1,8.05
66,Montepuez,MZ,2020-02-21 23:36:25,-13.13,39.0,70.99,97,100,1.54
67,Murgab,TM,2020-02-21 23:39:23,37.5,61.97,41.0,93,0,4.7
68,Qaanaaq,GL,2020-02-21 23:37:36,77.48,-69.36,-19.77,47,83,3.49
69,Cidreira,BR,2020-02-21 23:38:06,-30.18,-50.21,70.39,63,0,26.46
70,Vaini,TO,2020-02-21 23:40:17,-21.2,-175.2,82.4,78,75,12.75
71,Saldanha,ZA,2020-02-21 23:40:17,-33.01,17.94,66.2,77,0,13.87
72,Cherskiy,RU,2020-02-21 23:40:17,68.75,161.3,-17.48,95,100,3.8
73,Merauke,ID,2020-02-21 23:40:17,-8.47,140.33,81.97,82,100,11.16
74,Hobart,AU,2020-02-21 23:39:04,-42.88,147.33,68.0,44,88,11.41
75,East London,ZA,2020-02-21 23:40:18,-33.02,27.91,73.44,86,30,4.34
76,Mount Gambier,AU,2020-02-21 23:40:16,-37.83,140.77,62.6,67,40,9.17
77,Manokwari,ID,2020-02-21 23:40:18,-0.87,134.08,78.87,69,100,3.24
78,Provideniya,RU,2020-02-21 23:40:18,64.38,-173.3,-8.93,76,75,1.07
79,Rabo De Peixe,PT,2020-02-21 23:40:18,37.8,-25.58,50.0,81,20,5.82
80,Chokwe,MZ,2020-02-21 23:40:19,-24.53,32.98,74.53,88,11,3.38
81,Saint-Georges,GD,2020-02-21 23:36:37,12.06,-61.75,78.8,78,20,12.75
82,Port Elizabeth,ZA,2020-02-21 23:40:19,-33.92,25.57,68.0,88,75,11.41
83,Coari,BR,2020-02-21 23:40:19,-4.08,-63.14,76.62,93,58,2.64
84,Nemuro,JP,2020-02-21 23:40:20,43.32,145.57,29.14,77,87,8.19
85,Mach,PK,2020-02-21 23:40:20,29.86,67.33,52.21,40,0,2.59
86,Norman Wells,CA,2020-02-21 23:39:26,65.28,-126.83,12.2,85,90,4.7
87,Rio Grande,BR,2020-02-21 23:37:49,-32.03,-52.1,61.0,75,29,1.01
88,Stokmarknes,NO,2020-02-21 23:40:21,68.56,14.91,39.0,82,100,15.01
89,Altay,CN,2020-02-21 23:40:21,47.87,88.12,17.15,53,17,4.65
90,Bocanda,CI,2020-02-21 23:40:21,7.06,-4.5,80.08,77,81,5.28
91,Ciudad Bolivar,VE,2020-02-21 23:40:21,8.12,-63.55,85.6,47,61,11.86
92,Broome,US,2020-02-21 23:40:21,42.25,-75.83,28.4,38,1,5.82
93,Mahebourg,MU,2020-02-21 23:37:36,-20.41,57.7,78.01,73,40,4.7
94,Port Augusta,AU,2020-02-21 23:40:22,-32.5,137.77,71.01,60,0,5.82
95,Nantucket,US,2020-02-21 23:38:02,41.28,-70.1,27.0,58,1,3.24
96,Pontes E Lacerda,BR,2020-02-21 23:40:22,-15.23,-59.34,73.62,98,93,4.72
97,Mar Del Plata,AR,2020-02-21 23:40:20,-38.0,-57.56,57.99,62,40,13.87
98,Kamenka,RU,2020-02-21 23:37:37,51.32,42.77,32.0,92,100,5.37
99,Whitehorse,CA,2020-02-21 23:39:37,60.72,-135.05,35.6,55,75,5.82
100,Kaitangata,NZ,2020-02-21 23:40:23,-46.28,169.85,55.99,63,97,8.01
101,Hilo,US,2020-02-21 23:40:23,19.73,-155.09,75.0,83,90,8.05
102,Cabo San Lucas,MX,2020-02-21 23:36:45,22.89,-109.91,82.99,53,40,8.05
103,Pangody,RU,2020-02-21 23:40:24,65.85,74.49,0.12,86,20,8.37
104,San Patricio,MX,2020-02-21 23:40:24,19.22,-104.7,80.6,78,20,5.82
105,Bluff,NZ,2020-02-21 23:37:35,-46.6,168.33,54.0,76,87,14.0
106,Laguna,US,2020-02-21 23:40:24,38.42,-121.42,75.2,48,1,8.05
107,Lavrentiya,RU,2020-02-21 23:40:24,65.58,-171.0,-12.91,83,0,2.57
108,Okha,RU,2020-02-21 23:40:25,53.57,142.95,4.95,84,0,4.52
109,Ampanihy,MG,2020-02-21 23:40:25,-24.7,44.75,75.72,77,72,11.52
110,Haputale,LK,2020-02-21 23:40:25,6.77,80.96,65.95,98,100,5.1
111,Hongjiang,CN,2020-02-21 23:40:25,27.11,110.0,47.37,94,100,1.95
112,Palmer,US,2020-02-21 23:40:25,42.16,-72.33,30.2,30,1,6.93
113,Mayo,US,2020-02-21 23:35:58,38.89,-76.51,35.6,42,1,1.92
114,Margate,GB,2020-02-21 23:40:26,51.38,1.39,50.0,76,75,29.97
115,Plettenberg Bay,ZA,2020-02-21 23:40:26,-34.05,23.37,64.09,87,0,4.54
116,Kodiak,US,2020-02-21 23:38:20,57.79,-152.41,26.6,49,75,40.38
117,Matelandia,BR,2020-02-21 23:40:26,-25.24,-54.0,73.4,73,0,20.8
118,Balkhash,KZ,2020-02-21 23:40:27,46.84,74.98,22.37,87,100,4.74
119,Poum,NC,2020-02-21 23:40:27,-20.23,164.02,80.76,77,2,15.95
120,Sakaiminato,JP,2020-02-21 23:40:27,35.55,133.23,50.0,93,90,11.41
121,High Level,CA,2020-02-21 23:40:27,58.52,-117.14,46.4,36,40,9.17
122,Namibe,AO,2020-02-21 23:40:27,-15.2,12.15,76.03,73,98,13.87
123,Aconibe,GQ,2020-02-21 23:40:28,1.3,10.94,70.65,94,100,2.51
