City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
407,Cayenne,GF,80.6,light rain,4.93,-52.33,Hôtel Le Dronmi
408,Kapit,MY,73.2,overcast clouds,2.02,112.93,Hotel Meligai Kapit
409,Keti Bandar,PK,71.08,clear sky,24.14,67.45,Haji laloo memon house
419,Noumea,NC,89.6,broken clouds,-22.28,166.46,Hôtel Le Lagon
429,Gaoual,GN,77.63,broken clouds,11.75,-13.2,Hotel koliba
435,Viedma,AR,81.37,clear sky,-40.81,-63.0,Hotel casa crespo
439,Point Fortin,TT,78.8,shower rain,10.18,-61.68,Apartment Point Fortin
440,Araouane,ML,79.38,clear sky,18.9,-3.53,
441,Hanmer Springs,NZ,71.17,clear sky,-42.52,172.82,The Chalets Motel
442,Aquiraz,BR,82.4,overcast clouds,-3.9,-38.39,Hotel Laguna Blu
447,Kidal,ML,73.99,scattered clouds,18.44,1.41,
448,Lodwar,KE,84.29,overcast clouds,3.12,35.6,Turkwel Lodge
449,Emerald,AU,78.8,overcast clouds,-23.53,148.17,The Irish Village
452,Mackay,AU,82.99,overcast clouds,-21.15,149.2,International Lodge Motel
453,Nkhotakota,MW,79.97,overcast clouds,-12.93,34.3,Sitima Inn
454,Puerto Madero,MX,87.8,clear sky,14.72,-92.42,Hotel Perla del Pacífico
457,Beloha,MG,75.29,overcast clouds,-25.17,45.05,
459,Mogadishu,SO,79.93,few clouds,2.04,45.34,Hotel Juba
460,Tecolutla,MX,75.2,scattered clouds,20.48,-97.02,Hotel Plaza Marsol
461,Niamey,NE,80.6,clear sky,13.51,2.11,Soluxe Hotel Niamey
464,Eha Amufu,NG,80.6,scattered clouds,6.66,7.76,NYSC Corpers Lodge Umuhu
467,Auki,SB,83.64,clear sky,-8.77,160.7,Auki Motel
469,Poum,NC,80.44,scattered clouds,-20.23,164.02,Gîte kajeon
471,Alice Springs,AU,82.4,broken clouds,-23.7,133.88,Desert Palms Alice Springs
478,Yulara,AU,82.4,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
479,Trinidad,BO,77.0,broken clouds,-14.83,-64.9,Hotel Piesta
